Experiment,Repetition,BatchSize,W2_Gaussian,Sinkhorn,Sliced,W2_Time,Sinkhorn_Time,Sliced_Time
Exp3_Tech_Replicates,2,300000,0.0029878719378713114,0.2647365629673004,0.001157849624214571,13.445951700210571,3012.5252883434296,24.00628399848938
Exp1_Split_Half,2,399900,0.07835462017502515,0.4542715549468994,0.0005366947437152582,19.855974674224854,4184.940428733826,27.707035779953003
Exp2_Intra_Inter_Patient,2,399900,0.07768402432803168,0.42974263429641724,0.004553756454150991,17.209569931030273,4184.823297023773,24.330500841140747
Exp3_Tech_Replicates,2,399900,0.002895710033671506,0.2594449520111084,0.001275583251486275,17.315733432769775,4184.763902664185,24.046374559402466
Exp1_Split_Half,3,10000,0.13993672752950825,0.6339585781097412,0.1518430357314508,1.8686749935150146,829.6349732875824,12.269941806793213
Exp2_Intra_Inter_Patient,3,10000,0.09049294585887235,0.5809923410415649,0.005118499278267376,1.7793209552764893,829.4473757743835,10.486771821975708
Exp3_Tech_Replicates,3,10000,0.01129132546592615,0.4283524751663208,0.002241723531960681,2.0388176441192627,829.5082190036774,10.414105653762817
Exp1_Split_Half,3,30000,0.054164469715310304,0.5070899724960327,0.10908398089560528,2.6609504222869873,911.4601340293884,12.81907033920288
Exp2_Intra_Inter_Patient,3,30000,0.08236795438425926,0.5208912491798401,0.005343522963354256,2.396515130996704,911.3619594573975,10.962471961975098
Exp3_Tech_Replicates,3,30000,0.005743021860848074,0.3539780378341675,0.002881384950956169,2.7285892963409424,911.269647359848,10.901217699050903
Exp1_Split_Half,3,50000,0.09710542508627107,0.5433247089385986,0.08044508216409116,3.64951229095459,1051.1070384979248,13.151160717010498
Exp2_Intra_Inter_Patient,3,50000,0.07784528406818048,0.4951304495334625,0.004597489853621917,3.3316707611083984,1051.0478224754333,11.469466924667358
Exp3_Tech_Replicates,3,50000,0.004774332785062008,0.3269716799259186,0.001776428036023913,3.562356948852539,1051.09428024292,11.420343399047852
Exp1_Split_Half,3,100000,0.16548574822809847,0.5105208158493042,0.054858880174069403,5.888234376907349,1396.5461587905884,15.352335929870605
Exp2_Intra_Inter_Patient,3,100000,0.0762377635600675,0.46676206588745117,0.004436949394394329,5.375685214996338,1396.5029315948486,13.41592812538147
Exp3_Tech_Replicates,3,100000,0.0035078391244969254,0.29663026332855225,0.0012005823715274643,5.529463529586792,1396.7647070884705,13.350654602050781
Exp1_Split_Half,3,150000,0.1367514144920401,0.5091780424118042,0.031978294279308275,8.317375183105469,1694.0712785720825,17.681903839111328
Exp2_Intra_Inter_Patient,3,150000,0.07724500403246903,0.45307499170303345,0.005032788256731936,7.39584755897522,1694.3492336273193,15.015099048614502
Exp3_Tech_Replicates,3,150000,0.0032999294846227656,0.28224480152130127,0.0015241023330141916,7.55450963973999,1694.3499116897583,14.870273351669312
Exp1_Split_Half,3,200000,0.05663658247280701,0.4522666335105896,0.032483287471330065,10.442867279052734,2125.0952982902527,19.872946739196777
Exp2_Intra_Inter_Patient,3,200000,0.07823184731536337,0.4455111622810364,0.004658931199596002,9.427239656448364,2126.0405089855194,17.21066951751709
Exp3_Tech_Replicates,3,200000,0.0032213345536442617,0.27395859360694885,0.0010852424057421393,9.314250469207764,2125.6098294258118,17.080100297927856
Exp1_Split_Half,3,300000,0.11977851706989995,0.4714982211589813,0.0006461771924016233,15.099818229675293,3011.183065891266,23.728925704956055
Exp2_Intra_Inter_Patient,3,300000,0.07742414505922923,0.43522924184799194,0.004693017273422111,13.403910398483276,3012.640377998352,24.021165132522583
Exp3_Tech_Replicates,3,300000,0.0030282628520463817,0.2646670341491699,0.0010465391181453234,13.39231562614441,3012.5043375492096,23.81056499481201
Exp1_Split_Half,3,399900,0.024787318313806317,0.42774608731269836,0.00041474783341657184,19.751137256622314,4185.451674222946,27.691235303878784
Exp2_Intra_Inter_Patient,3,399900,0.07768518282994918,0.42974263429641724,0.004622645600709842,17.54662799835205,4184.032459259033,23.950997829437256
Exp3_Tech_Replicates,3,399900,0.002896087878664133,0.25944459438323975,0.0012527595008531257,17.45702028274536,4185.289612770081,23.970418214797974
Exp1_Split_Half,4,10000,0.08947857033415119,0.6047763824462891,0.15788583558347416,2.0339362621307373,829.6260294914246,12.135742902755737
Exp2_Intra_Inter_Patient,4,10000,0.08426256731560677,0.5756223201751709,0.005593710374054716,1.8206303119659424,829.6057267189026,10.470130205154419
Exp3_Tech_Replicates,4,10000,0.011444637776117261,0.43201473355293274,0.002622805236762302,1.8538239002227783,829.5370984077454,10.43242597579956
Exp1_Split_Half,4,30000,0.09673225316438838,0.5517020225524902,0.11366154056628346,2.8789377212524414,911.2928013801575,12.744496822357178
Exp2_Intra_Inter_Patient,4,30000,0.08311874204345138,0.5195270776748657,0.005270778959654741,2.8860552310943604,911.2929878234863,11.056988716125488
Exp3_Tech_Replicates,4,30000,0.0057847134942194955,0.3559245467185974,0.0028037246276977285,2.817802667617798,911.3019621372223,10.999631881713867
Exp1_Split_Half,4,50000,0.059772594385655964,0.4985862076282501,0.08138082322715905,3.722851037979126,1050.758672952652,13.303457736968994
Exp2_Intra_Inter_Patient,4,50000,0.07934709653864669,0.4961546063423157,0.004748776913014173,3.554748058319092,1050.7275612354279,11.564647436141968
Exp3_Tech_Replicates,4,50000,0.00494718529911875,0.3278222680091858,0.0018308496610732069,3.6770923137664795,1051.3162689208984,11.48167610168457
Exp1_Split_Half,4,100000,0.020539310871734884,0.4863261580467224,0.053068619969417426,5.940030336380005,1396.1893572807312,15.363760709762573
Exp2_Intra_Inter_Patient,4,100000,0.07920152004571879,0.46746429800987244,0.004711860531464117,5.3157877922058105,1396.3586475849152,13.515789031982422
Exp3_Tech_Replicates,4,100000,0.0037342195081127016,0.296631395816803,0.0013007769412602549,5.359008550643921,1396.4633474349976,13.442211389541626
Exp1_Split_Half,4,150000,0.04970821944485859,0.4516780376434326,0.0327789006934074,8.157421350479126,1693.836475610733,17.788140773773193
Exp2_Intra_Inter_Patient,4,150000,0.07895449292644763,0.4540233016014099,0.004581784940504277,7.412755489349365,1694.70761179924,15.080288410186768
Exp3_Tech_Replicates,4,150000,0.0034019483243694637,0.2820342779159546,0.0014687243955836809,7.363903999328613,1694.4033143520355,14.893851518630981
Exp1_Split_Half,4,200000,0.06282147358492374,0.459112286567688,0.032625382447647906,10.167460680007935,2124.9331703186035,20.05115056037903
Exp2_Intra_Inter_Patient,4,200000,0.07716518006569206,0.4448899030685425,0.005236587585475862,9.146628856658936,2125.591944217682,17.216477870941162
Exp3_Tech_Replicates,4,200000,0.0031915331218153042,0.27414411306381226,0.0011740728370422703,9.278049230575562,2124.8713099956512,17.137171745300293
Exp1_Split_Half,4,300000,0.057072982182323706,0.4465467631816864,0.00044022894533858955,15.20625925064087,3011.3095333576202,23.79863953590393
Exp2_Intra_Inter_Patient,4,300000,0.07699671662166274,0.434772253036499,0.004774343024147104,13.374495506286621,3012.3278114795685,24.12281632423401
Exp3_Tech_Replicates,4,300000,0.0030005188302615338,0.2645356059074402,0.0012272735784587014,13.69542384147644,3012.1085257530212,23.269216060638428
Exp1_Split_Half,4,399900,0.0998158620967029,0.45885220170021057,0.000543871583773433,19.817614316940308,4185.584641695023,27.69834065437317
Exp2_Intra_Inter_Patient,4,399900,0.07766995843035396,0.42973899841308594,0.004814820037347516,17.610578298568726,4184.143528461456,24.104488849639893
Exp3_Tech_Replicates,4,399900,0.0028951233723830683,0.2594439387321472,0.0013280721349034862,17.42830228805542,4184.52109336853,24.043512105941772
Exp1_Split_Half,5,10000,0.14853157951998686,0.6307647824287415,0.1553155553206623,1.7279446125030518,829.8209767341614,12.161259889602661
Exp2_Intra_Inter_Patient,5,10000,0.08860099768600627,0.5815449953079224,0.005154372431826218,1.8460392951965332,829.6616225242615,10.503926753997803
Exp3_Tech_Replicates,5,10000,0.010976116779236378,0.4287008047103882,0.0023062770108971255,2.1154541969299316,829.6085362434387,10.413471698760986
Exp1_Split_Half,5,30000,0.07003619596641641,0.5214135646820068,0.11186393431010416,2.76346755027771,911.3425750732422,12.711853265762329
Exp2_Intra_Inter_Patient,5,30000,0.08249001740922512,0.5193701982498169,0.005985109346058615,2.802703857421875,911.3872482776642,11.089563369750977
Exp3_Tech_Replicates,5,30000,0.005285865075492779,0.3550766706466675,0.0031943387178332756,2.5070433616638184,911.2810816764832,11.002312183380127
Exp1_Split_Half,5,50000,0.02112607232085395,0.5113711357116699,0.08121986410258451,3.5410189628601074,1050.8894143104553,13.1516854763031
Exp2_Intra_Inter_Patient,5,50000,0.08062564622213397,0.49656417965888977,0.00520958083890308,3.5097978115081787,1050.8487830162048,11.52421760559082
Exp3_Tech_Replicates,5,50000,0.0042124176530187185,0.32760369777679443,0.0018132240408852164,3.3172948360443115,1051.5492579936981,11.430587530136108
Exp1_Split_Half,5,100000,0.018536706927385183,0.468071311712265,0.05538771546377269,5.682826280593872,1396.3726170063019,15.361338376998901
Exp2_Intra_Inter_Patient,5,100000,0.07928169601774027,0.4671210050582886,0.004726418690481886,5.671000957489014,1396.2442135810852,13.469074010848999
Exp3_Tech_Replicates,5,100000,0.0038977356938776353,0.29655104875564575,0.0014216910297857263,5.4533867835998535,1396.7585363388062,13.320278406143188
Exp1_Split_Half,5,150000,0.08531572797069131,0.4710484743118286,0.03357088029461831,8.235846519470215,1694.1013314723969,17.482619524002075
Exp2_Intra_Inter_Patient,5,150000,0.07714916033858543,0.452767938375473,0.004619873621568468,7.543161869049072,1694.6444883346558,15.027887344360352
Exp3_Tech_Replicates,5,150000,0.003394142631024444,0.2822561264038086,0.0015043461321086287,7.490095138549805,1694.43075633049,15.019829511642456
Exp1_Split_Half,5,200000,0.13809277704903788,0.4869292080402374,0.0315697188018702,10.619391918182373,2124.864841938019,19.696155309677124
Exp2_Intra_Inter_Patient,5,200000,0.0782791398591165,0.4455079138278961,0.0043447247578581065,9.25308632850647,2125.963613510132,17.113193035125732
Exp3_Tech_Replicates,5,200000,0.003232876771436466,0.27397674322128296,0.0011249275697983066,9.315216064453125,2125.561056137085,16.96257185935974
Exp1_Split_Half,5,300000,0.071732898004357,0.45370620489120483,0.0006198317182410255,14.97942852973938,3011.3789308071136,23.624713897705078
Exp2_Intra_Inter_Patient,5,300000,0.07750850025488809,0.4350512623786926,0.004402787967699533,13.060553312301636,3012.3401248455048,23.882449626922607
Exp3_Tech_Replicates,5,300000,0.0030223761811960514,0.2647375464439392,0.0011501777302914387,13.30691146850586,3012.011086702347,23.661085605621338
Exp1_Split_Half,5,399900,0.10975552777289099,0.4599866271018982,0.00057648731837433,19.17483949661255,4184.822876930237,27.833256006240845
Exp2_Intra_Inter_Patient,5,399900,0.07766554718548768,0.42973706126213074,0.004888223490982869,17.253812789916992,4183.91770529747,24.105117082595825
Exp3_Tech_Replicates,5,399900,0.002896277327320007,0.2594451606273651,0.0012951060854851288,18.662847995758057,4185.1194932460785,24.187206745147705
Exp1_Split_Half,6,10000,0.24965305117486913,0.6921221017837524,0.1561212337118769,1.9433655738830566,829.7070291042328,12.20074462890625
Exp2_Intra_Inter_Patient,6,10000,0.08435724560342006,0.5778079628944397,0.004878108861078623,2.117699384689331,829.5962409973145,10.38969373703003
Exp3_Tech_Replicates,6,10000,0.01190208255470715,0.4301024377346039,0.002451461786330701,1.882676601409912,829.9439566135406,10.325023412704468
Exp1_Split_Half,6,30000,0.06336656362789483,0.5449061989784241,0.1125309835466499,2.701350450515747,911.4229762554169,12.697318315505981
Exp2_Intra_Inter_Patient,6,30000,0.0812402915897712,0.5211617946624756,0.004989400729229451,2.6895391941070557,911.2618200778961,10.89784288406372
Exp3_Tech_Replicates,6,30000,0.005757657351213474,0.3553011417388916,0.00278198270878786,2.4522087574005127,911.3563897609711,10.927605390548706
Exp1_Split_Half,6,50000,0.16818517161248892,0.5459262728691101,0.07850854732291727,3.7277963161468506,1051.1465344429016,13.119907855987549
Exp2_Intra_Inter_Patient,6,50000,0.07574473940274107,0.4936310946941376,0.005084261561518303,3.4300289154052734,1051.1556906700134,11.549072742462158
Exp3_Tech_Replicates,6,50000,0.004747330399185401,0.3270820379257202,0.001889544018638891,3.9560794830322266,1051.118943452835,11.513445377349854
Exp1_Split_Half,6,100000,0.05404334412013778,0.4831503629684448,0.05340657231056776,6.072522401809692,1396.3616507053375,15.247046709060669
