Affinity,Threshold,method,count,lower_whisker,Q1,median,Q3,upper_whisker,Threshold_original,layer,type,model,chain,Mean_Num_Points,layer_norm2,Loneliness,Vicinty_corr,IQR
hb,11,LD1,12715,0.173031026252983,0.56128064032016,0.714857428714357,0.820429541454019,1,0.00240672254308502,8,Pooled,antiberta2-cssp,paired_chain,1605.85979247597,46.6666666666667,,,0.259148901133859
hb,12,LD1,12715,0.166986564299424,0.553937465196149,0.708354177088544,0.811905952976488,1,0.00253080089374453,8,Pooled,antiberta2-cssp,paired_chain,1743.75356778535,46.6666666666667,,,0.257968487780339
hb,13,LD1,12715,0.162581290645323,0.549774887443722,0.702851425712856,0.807903951975988,0.9959979989995,0.00265487924440405,8,Pooled,antiberta2-cssp,paired_chain,1838.08412245361,46.6666666666667,,,0.258129064532266
hb,14,LD1,12715,0.161080540270135,0.547640224311631,0.699849924962481,0.805902951475738,0.9959979989995,0.00277895759506356,8,Pooled,antiberta2-cssp,paired_chain,1899,46.6666666666667,,,0.258262727164107
hb,0,LD1,12418,0,0,1,1,1,0.000160081533401413,7,Pooled,esm2,paired_chain,19.0000103040732,18.75,,,1
hb,1,LD1,12418,0,0.253289473684211,1,1,1,0.000192476108718763,7,Pooled,esm2,paired_chain,40.6933404774908,18.75,,,0.74671052631579
hb,2,LD1,12418,0.0638297872340426,0.625,0.945945945945946,1,1,0.000224870684036114,7,Pooled,esm2,paired_chain,81.2345104019619,18.75,,,0.375
hb,3,LD1,12418,0.141666666666667,0.655737704918033,0.9,1,1,0.000257265259353464,7,Pooled,esm2,paired_chain,153.393553771806,18.75,,,0.344262295081967
hb,4,LD1,12418,0.105263157894737,0.625,0.857142857142857,0.971718400724371,1,0.000289659834670814,7,Pooled,esm2,paired_chain,276.455790373935,18.75,,,0.346718400724371
hb,5,LD1,12418,0.0975609756097561,0.6,0.815028901734104,0.935044831329661,1,0.000322054409988165,7,Pooled,esm2,paired_chain,466.531803521932,18.75,,,0.335044831329661
hb,6,LD1,12418,0.0881742738589212,0.575757575757576,0.772483469080796,0.90154596241366,1,0.000354448985305515,7,Pooled,esm2,paired_chain,710.645220455646,18.75,,,0.325788386656084
hb,7,LD1,12418,0.0729166666666667,0.54969537749007,0.73934296207933,0.869295945328486,1,0.000386843560622865,7,Pooled,esm2,paired_chain,971.067800801657,18.75,,,0.319600567838416
hb,8,LD1,12418,0.0666666666666667,0.531716995741386,0.710847087486815,0.841960167211224,1,0.000419238135940216,7,Pooled,esm2,paired_chain,1212.3021257303,18.75,,,0.310243171469838
hb,9,LD1,12418,0.0648854961832061,0.516946485458843,0.688982259570495,0.819586549893665,1,0.000451632711257566,7,Pooled,esm2,paired_chain,1413.6213253099,18.75,,,0.302640064434822
hb,10,LD1,12418,0.0571428571428571,0.505893978144617,0.6723228603419,0.805146103896104,1,0.000484027286574917,7,Pooled,esm2,paired_chain,1572.55653329761,18.75,,,0.299252125751487
hb,11,LD1,12418,0.0558659217877095,0.497260792558441,0.6617538448171,0.792396198099049,1,0.000516421861892267,7,Pooled,esm2,paired_chain,1693.14536986471,18.75,,,0.295135405540608
hb,12,LD1,12418,0.0557677616501146,0.489244622311156,0.654327163581791,0.782391195597799,1,0.000548816437209617,7,Pooled,esm2,paired_chain,1783.42191058125,18.75,,,0.293146573286643
hb,13,LD1,12418,0.0575287643821911,0.486880326756908,0.648824412206103,0.775387693846923,1,0.000581211012526968,7,Pooled,esm2,paired_chain,1850.27323310905,18.75,,,0.288507367090015
hb,14,LD1,12418,0.0575287643821911,0.483741870935468,0.644450237166776,0.770885442721361,1,0.000613605587844318,7,Pooled,esm2,paired_chain,1899,18.75,,,0.287143571785893
hb,0,LD1,12621,0.875,0.95,1,1,1,0.0081921977141568,3,Unpooled,antiberta2-cssp,paired_chain,19.0000103040732,13.3333333333333,,,0.05
hb,1,LD1,12621,0.833333333333333,0.933333333333333,1,1,1,0.00934810461529965,3,Unpooled,antiberta2-cssp,paired_chain,28.6229636575338,13.3333333333333,,,0.0666666666666667
hb,2,LD1,12621,0.791666666666667,0.916666666666667,1,1,1,0.0105040115164425,3,Unpooled,antiberta2-cssp,paired_chain,37.1360446784614,13.3333333333333,,,0.0833333333333334
