Affinity,Threshold,method,count,lower_whisker,Q1,median,Q3,upper_whisker,Threshold_original,layer,sample_size,type,model,chain,Mean_Num_Points,layer_norm2,Loneliness,Vicinty_corr,IQR
hb,5,LD1,2488,0.247706422018349,0.67110200845666,0.835700205173593,0.957173382173382,1,0.0631117793070175,5,10000,Unpooled,esm2,t33_650M_UR50D_cdr3_embeddings_unpooled_sample_10000,275.2818,12.5,,,0.286071373716723
hb,6,LD1,2488,0.222222222222222,0.645186058138704,0.8,0.92948980188183,1,0.0674536207563459,5,10000,Unpooled,esm2,t33_650M_UR50D_cdr3_embeddings_unpooled_sample_10000,439.3033,12.5,,,0.284303743743126
hb,7,LD1,2488,0.189542483660131,0.613054199587338,0.767009951400139,0.899121086910848,1,0.0717954622056742,5,10000,Unpooled,esm2,t33_650M_UR50D_cdr3_embeddings_unpooled_sample_10000,670.07505,12.5,,,0.28606688732351
hb,8,LD1,2488,0.19672131147541,0.595509495079031,0.737116285415435,0.865917580707184,1,0.0761373036550026,5,10000,Unpooled,esm2,t33_650M_UR50D_cdr3_embeddings_unpooled_sample_10000,947.6757,12.5,,,0.270408085628152
hb,9,LD1,2488,0.207792207792208,0.582736910501857,0.710105052526263,0.834118274414985,1,0.080479145104331,5,10000,Unpooled,esm2,t33_650M_UR50D_cdr3_embeddings_unpooled_sample_10000,1223.31435,12.5,,,0.251381363913129
hb,10,LD1,2488,0.222972972972973,0.573584818725152,0.691885694399995,0.811010500488994,1,0.0848209865536594,5,10000,Unpooled,esm2,t33_650M_UR50D_cdr3_embeddings_unpooled_sample_10000,1455.93405,12.5,,,0.237425681763841
hb,11,LD1,2488,0.225045372050817,0.565782891445723,0.680340170085043,0.794929305448744,1,0.0891628280029878,5,10000,Unpooled,esm2,t33_650M_UR50D_cdr3_embeddings_unpooled_sample_10000,1630.3534,12.5,,,0.229146414003021
hb,12,LD1,2488,0.232365145228216,0.563031515757879,0.674696815863553,0.785017508754377,1,0.0935046694523161,5,10000,Unpooled,esm2,t33_650M_UR50D_cdr3_embeddings_unpooled_sample_10000,1753.6072,12.5,,,0.221985992996498
hb,13,LD1,2488,0.229114557278639,0.559266892399368,0.671335667833917,0.780390195097549,1,0.0978465109016445,5,10000,Unpooled,esm2,t33_650M_UR50D_cdr3_embeddings_unpooled_sample_10000,1838.73805,12.5,,,0.221123302698181
hb,14,LD1,2488,0.229114557278639,0.557778889444722,0.669847772318215,0.776888444222111,0.997245179063361,0.102188352350973,5,10000,Unpooled,esm2,t33_650M_UR50D_cdr3_embeddings_unpooled_sample_10000,1899,12.5,,,0.219109554777389
