Affinity,Threshold,method,count,lower_whisker,Q1,median,Q3,upper_whisker,Threshold_original,layer,type,model,chain,Mean_Num_Points,DMS,layer_norm2,M_c,Loneliness,Vicinty_corr,IQR
covid,13,LD1,1735,0,0.127313656828414,0.185592796398199,0.249624812406203,0.428571428571429,0.0104461932921938,32,Pooled,esm2,paired_chain,1855.48313445052,covabdab,96.875,1.09360652839152,,,0.122311155577789
covid,14,LD1,1735,0,0.127563781890945,0.185092546273137,0.248624312156078,0.413793103448276,0.0110373506134968,32,Pooled,esm2,paired_chain,1899,covabdab,96.875,1.09360652839152,,,0.121060530265133
covid,0,LD1,1792,0,0,0.333333333333333,0.75,1,0.18895303722886,16,Unpooled,antiberta2-cssp,paired_chain,19,covabdab,100,1.31729148693049,,,0.75
covid,1,LD1,1792,0,0.0833333333333333,0.278888888888889,0.612179487179487,1,0.211588220629682,16,Unpooled,antiberta2-cssp,paired_chain,32.6439495110498,covabdab,100,1.31729148693049,,,0.528846153846154
covid,2,LD1,1792,0,0.1,0.25,0.529155266757866,1,0.234223404030503,16,Unpooled,antiberta2-cssp,paired_chain,52.1319950028002,covabdab,100,1.31729148693049,,,0.429155266757866
covid,3,LD1,1792,0,0.10899209486166,0.222222222222222,0.4375,0.928571428571429,0.256858587431325,16,Unpooled,antiberta2-cssp,paired_chain,77.3514840821953,covabdab,100,1.31729148693049,,,0.32850790513834
covid,4,LD1,1792,0,0.114195298372514,0.214019675098681,0.381032011466794,0.777777777777778,0.279493770832146,16,Unpooled,antiberta2-cssp,paired_chain,107.065782104855,covabdab,100,1.31729148693049,,,0.266836713094281
covid,5,LD1,1792,0,0.119907975460123,0.201486396893425,0.342270430751602,0.675438596491228,0.302128954232968,16,Unpooled,antiberta2-cssp,paired_chain,141.704260543661,covabdab,100,1.31729148693049,,,0.222362455291479
covid,6,LD1,1792,0,0.124628420613974,0.192153846153846,0.308919885550787,0.584615384615385,0.32476413763379,16,Unpooled,antiberta2-cssp,paired_chain,186.726144832637,covabdab,100,1.31729148693049,,,0.184291464936813
covid,7,LD1,1792,0,0.123922169276152,0.188288050646267,0.282405522331085,0.51953125,0.347399321034611,16,Unpooled,antiberta2-cssp,paired_chain,252.254124843838,covabdab,100,1.31729148693049,,,0.158483353054934
covid,8,LD1,1792,0,0.127976744186047,0.181318224740321,0.255520619709001,0.444444444444444,0.370034504435433,16,Unpooled,antiberta2-cssp,paired_chain,352.984060655667,covabdab,100,1.31729148693049,,,0.127543875522955
covid,9,LD1,1792,0,0.131713787614644,0.176883469743727,0.237088601020893,0.394822006472492,0.392669687836254,16,Unpooled,antiberta2-cssp,paired_chain,512.533364924827,covabdab,100,1.31729148693049,,,0.105374813406249
covid,10,LD1,1792,0,0.133967079491948,0.173155962066468,0.225199769398612,0.357142857142857,0.415304871237076,16,Unpooled,antiberta2-cssp,paired_chain,751.367315728256,covabdab,100,1.31729148693049,,,0.0912326899066641
covid,11,LD1,1792,0.0285714285714286,0.135385982783271,0.169584792396198,0.219507822685789,0.342579750346741,0.437940054637898,16,Unpooled,antiberta2-cssp,paired_chain,1066.0054926119,covabdab,100,1.31729148693049,,,0.0841218399025178
covid,12,LD1,1792,0.0270935960591133,0.136562759291292,0.169645687236957,0.214953924309849,0.331887201735358,0.460575238038719,16,Unpooled,antiberta2-cssp,paired_chain,1415.24634902856,covabdab,100,1.31729148693049,,,0.0783911650185569
covid,13,LD1,1792,0.0354430379746835,0.135567783891946,0.170747429574074,0.21187482786337,0.320481927710843,0.483210421439541,16,Unpooled,antiberta2-cssp,paired_chain,1723.17055098436,covabdab,100,1.31729148693049,,,0.0763070439714239
covid,14,LD1,1792,0.0368550368550369,0.136068034017009,0.171335667833917,0.214232116058029,0.331165582791396,0.505845604840363,16,Unpooled,antiberta2-cssp,paired_chain,1899,covabdab,100,1.31729148693049,,,0.0781640820410205
covid,0,LD1,1710,0,0,0.310661764705882,0.77420424403183,1,0.00375300333939957,1,Unpooled,esm2,paired_chain,19,covabdab,0,1.43469306589272,,,0.77420424403183
covid,1,LD1,1710,0,0.0646914446002805,0.285714285714286,0.625,1,0.00432855398010256,1,Unpooled,esm2,paired_chain,35.0968770191686,covabdab,0,1.43469306589272,,,0.56030855539972
covid,2,LD1,1710,0,0.101912212081704,0.259950495049505,0.516129032258065,1,0.00490410462080556,1,Unpooled,esm2,paired_chain,58.5455093689425,covabdab,0,1.43469306589272,,,0.414216820176361
covid,3,LD1,1710,0,0.115523968784838,0.236840776600992,0.446217494089835,0.935483870967742,0.00547965526150855,1,Unpooled,esm2,paired_chain,90.6622873142365,covabdab,0,1.43469306589272,,,0.330693525304996
covid,4,LD1,1710,0,0.128205128205128,0.212738361343378,0.385811263828361,0.769230769230769,0.00605520590221155,1,Unpooled,esm2,paired_chain,133.847426233039,covabdab,0,1.43469306589272,,,0.257606135623233
covid,5,LD1,1710,0,0.135357926065163,0.20440302105094,0.328459821428571,0.614973262032086,0.00663075654291454,1,Unpooled,esm2,paired_chain,192.243247900065,covabdab,0,1.43469306589272,,,0.193101895363409
covid,6,LD1,1710,0,0.136161915008069,0.196396737075253,0.279917780551655,0.495049504950495,0.00720630718361753,1,Unpooled,esm2,paired_chain,272.781434417403,covabdab,0,1.43469306589272,,,0.143755865543586
covid,7,LD1,1710,0,0.137931034482759,0.189563978141519,0.254927937752365,0.43,0.00778185782432053,1,Unpooled,esm2,paired_chain,387.774886926556,covabdab,0,1.43469306589272,,,0.116996903269607
covid,8,LD1,1710,0,0.140955675882146,0.183582394317003,0.242655432254313,0.388888888888889,0.00835740846502352,1,Unpooled,esm2,paired_chain,559.022291621796,covabdab,0,1.43469306589272,,,0.101699756372166
covid,9,LD1,1710,0.0127659574468085,0.142857142857143,0.180562419384175,0.237196115367971,0.375394321766562,0.00893295910572651,1,Unpooled,esm2,paired_chain,806.212319620935,covabdab,0,1.43469306589272,,,0.094338972510828
covid,10,LD1,1710,0.0201729106628242,0.142340245063341,0.178987072392014,0.230356443006301,0.359979101358412,0.00950850974642951,1,Unpooled,esm2,paired_chain,1104.93760499677,covabdab,0,1.43469306589272,,,0.0880161979429602
covid,11,LD1,1710,0.0198198198198198,0.142071035517759,0.177088544272136,0.225505691019077,0.350175087543772,0.0100840603871325,1,Unpooled,esm2,paired_chain,1400.7981908249,covabdab,0,1.43469306589272,,,0.0834346555013185
covid,12,LD1,1710,0.0233463035019455,0.14207388401359,0.176529441191184,0.223611805902952,0.345672836418209,0.0106596110278355,1,Unpooled,esm2,paired_chain,1644.2129226793,covabdab,0,1.43469306589272,,,0.0815379218893612
covid,13,LD1,1710,0.0303030303030303,0.141917172765282,0.176338169084542,0.223111555777889,0.344672336168084,0.0112351616685385,1,Unpooled,esm2,paired_chain,1806.66605642903,covabdab,0,1.43469306589272,,,0.0811943830126068
covid,14,LD1,1710,0.0265486725663717,0.143071535767884,0.176338169084542,0.223111555777889,0.342671335667834,0.0118107123092415,1,Unpooled,esm2,paired_chain,1899,covabdab,0,1.43469306589272,,,0.080040020010005
hb,0,LD1,338,0,0,0,0.5,1,0.0220454769072763,1,Att_mat,antiberta2-cssp,cdr3_only,19.0000403388463,porebski,0,1.71117088921001,,,0.5
hb,1,LD1,338,0,0,0.333333333333333,0.666666666666667,1,0.0270482379837082,1,Att_mat,antiberta2-cssp,cdr3_only,44.6360629286002,porebski,0,1.71117088921001,,,0.666666666666667
hb,2,LD1,338,0,0,0.468627450980392,0.666666666666667,1,0.03205099906014,1,Att_mat,antiberta2-cssp,cdr3_only,87.7902379991932,porebski,0,1.71117088921001,,,0.666666666666667
hb,3,LD1,338,0,0.278539089659633,0.5,0.666666666666667,1,0.0370537601365718,1,Att_mat,antiberta2-cssp,cdr3_only,158.31278741428,porebski,0,1.71117088921001,,,0.388127577007034
hb,4,LD1,338,0,0.327176440196332,0.496428571428571,0.666666666666667,1,0.0420565212130037,1,Att_mat,antiberta2-cssp,cdr3_only,267.523799919322,porebski,0,1.71117088921001,,,0.339490226470335
hb,5,LD1,338,0,0.321987282178703,0.443332332432523,0.583333333333333,0.928571428571429,0.0470592822894355,1,Att_mat,antiberta2-cssp,cdr3_only,416.260467930617,porebski,0,1.71117088921001,,,0.26134605115463
hb,6,LD1,338,0,0.287234042553192,0.39811320754717,0.520656380685213,0.821428571428571,0.0520620433658673,1,Att_mat,antiberta2-cssp,cdr3_only,599.590762404195,porebski,0,1.71117088921001,,,0.233422338132021
hb,7,LD1,338,0,0.263084686410006,0.373875321336761,0.481442200345073,0.775862068965517,0.0570648044422992,1,Att_mat,antiberta2-cssp,cdr3_only,805.203832190399,porebski,0,1.71117088921001,,,0.218357513935067
hb,8,LD1,338,0,0.240859931870988,0.336129671653499,0.430055323472959,0.692307692307692,0.062067565518731,1,Att_mat,antiberta2-cssp,cdr3_only,1014.74638967326,porebski,0,1.71117088921001,,,0.189195391601971
hb,9,LD1,338,0,0.227236291821561,0.300074508926638,0.387959924055584,0.605633802816901,0.0670703265951628,1,Att_mat,antiberta2-cssp,cdr3_only,1218.27063331989,porebski,0,1.71117088921001,,,0.160723632234023
hb,10,LD1,338,0.109054527263632,0.217826797966511,0.288644322161081,0.354405360510012,0.547368421052632,0.0720730876715947,1,Att_mat,antiberta2-cssp,cdr3_only,1408.69467527229,porebski,0,1.71117088921001,,,0.1365785625435
hb,11,LD1,338,0.109054527263632,0.211289367352202,0.279889944972486,0.331507995376999,0.497435897435897,0.0770758487480265,1,Att_mat,antiberta2-cssp,cdr3_only,1576.05849132715,porebski,0,1.71117088921001,,,0.120218628024797
hb,12,LD1,338,0.109054527263632,0.210105052526263,0.276138069034517,0.312531265632816,0.443823365008385,0.0820786098244583,1,Att_mat,antiberta2-cssp,cdr3_only,1715.58588140379,porebski,0,1.71117088921001,,,0.102426213106553
hb,13,LD1,338,0.109054527263632,0.208229114557279,0.273798528510081,0.30440220110055,0.43271635817909,0.0870813709008902,1,Att_mat,antiberta2-cssp,cdr3_only,1822.93263412666,porebski,0,1.71117088921001,,,0.0961730865432716
hb,14,LD1,338,0.109054527263632,0.209868920474223,0.271385692846423,0.300650325162581,0.43271635817909,0.092084131977322,1,Att_mat,antiberta2-cssp,cdr3_only,1899,porebski,0,1.71117088921001,,,0.0907814046883582
hb,0,LD1,160,0,0,0,1,1,0.00229905117709223,5,Att_mat,esm2,cdr3_only,19,porebski,12.5,2.31115292190947,,,1
hb,1,LD1,160,0,0,0.677083333333333,1,1,0.00287321535816289,5,Att_mat,esm2,cdr3_only,49.141508672852,porebski,12.5,2.31115292190947,,,1
hb,2,LD1,160,0,0.347991543340381,0.666666666666667,0.86639058413252,1,0.00344737953923355,5,Att_mat,esm2,cdr3_only,108.479548204921,porebski,12.5,2.31115292190947,,,0.518399040792139
hb,3,LD1,160,0,0.442261330761813,0.631006864988558,0.751024590163934,1,0.00402154372030421,5,Att_mat,esm2,cdr3_only,211.749576442114,porebski,12.5,2.31115292190947,,,0.308763259402122
hb,4,LD1,160,0,0.382554521635264,0.562017988520484,0.664505347593583,1,0.00459570790137487,5,Att_mat,esm2,cdr3_only,368.4480839048,porebski,12.5,2.31115292190947,,,0.281950825958319
hb,5,LD1,160,0,0.352490502321655,0.498154015704643,0.600684931506849,0.87719298245614,0.00516987208244553,5,Att_mat,esm2,cdr3_only,569.284550221864,porebski,12.5,2.31115292190947,,,0.248194429185195
hb,6,LD1,160,0.0927835051546392,0.324295285316084,0.444189058379101,0.525172516111492,0.772727272727273,0.00574403626351618,5,Att_mat,esm2,cdr3_only,791.915933844292,porebski,12.5,2.31115292190947,,,0.200877230795408
hb,7,LD1,160,0.104395604395604,0.318909454727364,0.398651119281614,0.46347661583283,0.665207877461707,0.00631820044458684,5,Att_mat,esm2,cdr3_only,1014.51573215006,porebski,12.5,2.31115292190947,,,0.144567161105466
hb,8,LD1,160,0.140724946695096,0.30532634261201,0.366756065866962,0.425573528208971,0.604006163328197,0.0068923646256575,5,Att_mat,esm2,cdr3_only,1224.04578459056,porebski,12.5,2.31115292190947,,,0.120247185596961
hb,9,LD1,160,0.128647214854111,0.293101601038489,0.345880660918695,0.407004678515434,0.530674846625767,0.00746652880672816,5,Att_mat,esm2,cdr3_only,1410.44735780557,porebski,12.5,2.31115292190947,,,0.113903077476945
hb,10,LD1,160,0.1468671679198,0.289918384885138,0.340670335167584,0.399679593089124,0.507253626813407,0.00804069298779882,5,Att_mat,esm2,cdr3_only,1566.65381202098,porebski,12.5,2.31115292190947,,,0.109761208203986
hb,11,LD1,160,0.147073536768384,0.288394197098549,0.334917458729365,0.393571785892947,0.507253626813407,0.00861485716886948,5,Att_mat,esm2,cdr3_only,1689.25344897136,porebski,12.5,2.31115292190947,,,0.105177588794397
hb,12,LD1,160,0.147073536768384,0.286018009004502,0.332416208104052,0.393571785892947,0.507253626813407,0.00918902134994013,5,Att_mat,esm2,cdr3_only,1782.42654296087,porebski,12.5,2.31115292190947,,,0.107553776888444
hb,13,LD1,160,0.147073536768384,0.286018009004502,0.332416208104052,0.393571785892947,0.507253626813407,0.00976318553101079,5,Att_mat,esm2,cdr3_only,1851.29092375958,porebski,12.5,2.31115292190947,,,0.107553776888444
hb,14,LD1,160,0.147073536768384,0.28464232116058,0.332416208104052,0.389819909954978,0.507253626813407,0.0103373497120815,5,Att_mat,esm2,cdr3_only,1899,porebski,12.5,2.31115292190947,,,0.105177588794397
hb,0,LD1,318,0,0,0,0.666666666666667,1,0.0398017322486124,7,Pooled,antiberta2-cssp,cdr3_only,19.0002420330779,porebski,40,2.15661432320644,,,0.666666666666667
hb,1,LD1,318,0,0,0.333333333333333,0.7,1,0.0472018285833376,7,Pooled,antiberta2-cssp,cdr3_only,41.6045179507866,porebski,40,2.15661432320644,,,0.7
hb,2,LD1,318,0,0,0.497058823529412,0.677083333333333,1,0.0546019249180629,7,Pooled,antiberta2-cssp,cdr3_only,84.6498588140379,porebski,40,2.15661432320644,,,0.677083333333333
hb,3,LD1,318,0,0.291271347248577,0.474021592442645,0.6,1,0.0620020212527882,7,Pooled,antiberta2-cssp,cdr3_only,151.933198870512,porebski,40,2.15661432320644,,,0.308728652751423
hb,4,LD1,318,0,0.324346672111066,0.449137931034483,0.555555555555556,0.894736842105263,0.0694021175875134,7,Pooled,antiberta2-cssp,cdr3_only,255.201452198467,porebski,40,2.15661432320644,,,0.23120888344449
hb,5,LD1,318,0.112244897959184,0.306514913657771,0.393939393939394,0.5,0.777777777777778,0.0768022139222387,7,Pooled,antiberta2-cssp,cdr3_only,404.229245663574,porebski,40,2.15661432320644,,,0.193485086342229
hb,6,LD1,318,0.111111111111111,0.282636727434415,0.354303135170766,0.444368755676658,0.642857142857143,0.0842023102569639,7,Pooled,antiberta2-cssp,cdr3_only,592.034449374748,porebski,40,2.15661432320644,,,0.161732028242242
hb,7,LD1,318,0.125,0.255042590806815,0.319081230217167,0.4,0.590909090909091,0.0916024065916892,7,Pooled,antiberta2-cssp,cdr3_only,801.521218233159,porebski,40,2.15661432320644,,,0.144957409193186
hb,8,LD1,318,0.0769230769230769,0.236196633825944,0.279838064019094,0.365686849661901,0.548387096774194,0.0990025029264145,7,Pooled,antiberta2-cssp,cdr3_only,1018.95280354982,porebski,40,2.15661432320644,,,0.129490215835957
hb,9,LD1,318,0.116279069767442,0.220610305152576,0.259861982434128,0.323606634085474,0.475177304964539,0.10640259926114,7,Pooled,antiberta2-cssp,cdr3_only,1229.64517950787,porebski,40,2.15661432320644,,,0.102996328932897
hb,10,LD1,318,0.134567283641821,0.207292175872474,0.250765534500766,0.293180625983564,0.410071942446043,0.113802695595865,7,Pooled,antiberta2-cssp,cdr3_only,1422.89636950383,porebski,40,2.15661432320644,,,0.0858884501110899
hb,11,LD1,318,0.133734939759036,0.200600300150075,0.240370185092546,0.27663831915958,0.385558583106267,0.12120279193059,7,Pooled,antiberta2-cssp,cdr3_only,1589.12416296894,porebski,40,2.15661432320644,,,0.0760380190095048
hb,12,LD1,318,0.134067033516758,0.198662667854004,0.233406483763144,0.265882941470735,0.358179089544772,0.128602888265316,7,Pooled,antiberta2-cssp,cdr3_only,1724.2891085115,porebski,40,2.15661432320644,,,0.0672202736167319
hb,13,LD1,318,0.130691898285038,0.197723861930965,0.229864932466233,0.263123930955213,0.358179089544772,0.136002984600041,7,Pooled,antiberta2-cssp,cdr3_only,1827.0846712384,porebski,40,2.15661432320644,,,0.0654000690242474
hb,14,LD1,318,0.125562781390695,0.197223611805903,0.229114557278639,0.262422592424309,0.358179089544772,0.143403080934766,7,Pooled,antiberta2-cssp,cdr3_only,1899,porebski,40,2.15661432320644,,,0.0651989806184062
hb,0,LD1,207,0,0,0.5,1,1,0.00741230585548271,7,Pooled,esm2,cdr3_only,19,porebski,18.75,3.02767516342255,,,1
hb,1,LD1,207,0,0.225,0.692307692307692,1,1,0.00881040152976532,7,Pooled,esm2,cdr3_only,43.8958450988302,porebski,18.75,3.02767516342255,,,0.775
hb,2,LD1,207,0,0.452272727272727,0.666666666666667,0.837121212121212,1,0.0102084972040479,7,Pooled,esm2,cdr3_only,90.4372730939895,porebski,18.75,3.02767516342255,,,0.384848484848485
hb,3,LD1,207,0.166666666666667,0.5,0.606060606060606,0.728342245989305,1,0.0116065928783306,7,Pooled,esm2,cdr3_only,169.389310205728,porebski,18.75,3.02767516342255,,,0.228342245989305
hb,4,LD1,207,0.166666666666667,0.44693733451015,0.550847457627119,0.656924476797088,0.925,0.0130046885526132,7,Pooled,esm2,cdr3_only,291.893626462283,porebski,18.75,3.02767516342255,,,0.209987142286938
hb,5,LD1,207,0.166666666666667,0.394007360951166,0.492993630573248,0.573001942788236,0.829059829059829,0.0144027842268958,7,Pooled,esm2,cdr3_only,460.151432029044,porebski,18.75,3.02767516342255,,,0.17899458183707
hb,6,LD1,207,0.165137614678899,0.355691369234709,0.430851063829787,0.512764227642276,0.72,0.0158008799011784,7,Pooled,esm2,cdr3_only,663.10645421541,porebski,18.75,3.02767516342255,,,0.157072858407567
hb,7,LD1,207,0.157894736842105,0.336170315022292,0.387692307692308,0.459249578347442,0.64,0.017198975575461,7,Pooled,esm2,cdr3_only,882.729366680113,porebski,18.75,3.02767516342255,,,0.12307926332515
hb,8,LD1,207,0.16304347826087,0.304085135820374,0.354177088544272,0.409774436090226,0.566265060240964,0.0185970712497436,7,Pooled,esm2,cdr3_only,1100.03344090359,porebski,18.75,3.02767516342255,,,0.105689300269851
hb,9,LD1,207,0.186093046523262,0.289210690133097,0.336374002280502,0.375977434346171,0.5,0.0199951669240263,7,Pooled,esm2,cdr3_only,1305.00673658733,porebski,18.75,3.02767516342255,,,0.0867667442130744
hb,10,LD1,207,0.186093046523262,0.281890945472736,0.323603002502085,0.361812585499316,0.465732866433217,0.0213932625983089,7,Pooled,esm2,cdr3_only,1486.81657926583,porebski,18.75,3.02767516342255,,,0.0799216400265796
hb,11,LD1,207,0.168421052631579,0.277358426896249,0.319159579789895,0.35167583791896,0.461230615307654,0.0227913582725915,7,Pooled,esm2,cdr3_only,1636.4699475595,porebski,18.75,3.02767516342255,,,0.0743174110227102
hb,12,LD1,207,0.178589294647324,0.275665933742065,0.310987903225806,0.347173586793397,0.452726363181591,0.0241894539468741,7,Pooled,esm2,cdr3_only,1753.19507866075,porebski,18.75,3.02767516342255,,,0.0715076530513319
hb,13,LD1,207,0.178589294647324,0.273636818409205,0.309654827413707,0.346423211605803,0.452726363181591,0.0255875496211567,7,Pooled,esm2,cdr3_only,1839.74175070593,porebski,18.75,3.02767516342255,,,0.0727863931965983
hb,14,LD1,207,0.178589294647324,0.273636818409205,0.306153076538269,0.34592296148074,0.452726363181591,0.0269856452954394,7,Pooled,esm2,cdr3_only,1899,porebski,18.75,3.02767516342255,,,0.0722861430715358
hb,0,LD1,392,0,0,0,0.666666666666667,1,0.083603891965463,1,Unpooled,antiberta2-cssp,cdr3_only,19.0000806776926,porebski,0,1.87849133826993,,,0.666666666666667
hb,1,LD1,392,0,0,0.464102564102564,0.666666666666667,1,0.0976034791110207,1,Unpooled,antiberta2-cssp,cdr3_only,70.5339249697459,porebski,0,1.87849133826993,,,0.666666666666667
hb,2,LD1,392,0,0.325630865332691,0.5,0.7,1,0.111603066256578,1,Unpooled,antiberta2-cssp,cdr3_only,122.206050826946,porebski,0,1.87849133826993,,,0.374369134667309
hb,3,LD1,392,0,0.350923002186058,0.52963125548727,0.692307692307692,1,0.125602653402136,1,Unpooled,antiberta2-cssp,cdr3_only,152.652521177894,porebski,0,1.87849133826993,,,0.341384690121634
hb,4,LD1,392,0,0.34989837398374,0.487445887445888,0.632791777188329,1,0.139602240547694,1,Unpooled,antiberta2-cssp,cdr3_only,288.181807180315,porebski,0,1.87849133826993,,,0.282893403204589
hb,5,LD1,392,0,0.331520028330841,0.450225225225225,0.583445945945946,0.947368421052632,0.153601827693251,1,Unpooled,antiberta2-cssp,cdr3_only,491.851270673659,porebski,0,1.87849133826993,,,0.251925917615105
hb,6,LD1,392,0,0.319038437372373,0.418083044466808,0.562680859859446,0.916666666666667,0.167601414838809,1,Unpooled,antiberta2-cssp,cdr3_only,601.911940298508,porebski,0,1.87849133826993,,,0.243642422487073
hb,7,LD1,392,0,0.288559916537756,0.393967820797089,0.5,0.8,0.181601001984367,1,Unpooled,antiberta2-cssp,cdr3_only,777.51355385236,porebski,0,1.87849133826993,,,0.211440083462244
hb,8,LD1,392,0.125,0.246430298738798,0.333309533742993,0.437497194720641,0.712328767123288,0.195600589129924,1,Unpooled,antiberta2-cssp,cdr3_only,1035.10960064542,porebski,0,1.87849133826993,,,0.191066895981844
hb,9,LD1,392,0.125062531265633,0.237993996998499,0.298262129587689,0.396294772422515,0.633507853403141,0.209600176275482,1,Unpooled,antiberta2-cssp,cdr3_only,1194.15913674869,porebski,0,1.87849133826993,,,0.158300775424016
hb,10,LD1,392,0.125062531265633,0.231214926121342,0.289894947473737,0.361761109536313,0.540942928039702,0.22359976342104,1,Unpooled,antiberta2-cssp,cdr3_only,1345.92916498588,porebski,0,1.87849133826993,,,0.130546183414971
hb,11,LD1,392,0.125062531265633,0.221235617808904,0.27625728468242,0.320260074768409,0.461439588688946,0.237599350566597,1,Unpooled,antiberta2-cssp,cdr3_only,1546.81569181121,porebski,0,1.87849133826993,,,0.0990244569595041
hb,12,LD1,392,0.125062531265633,0.214342651904304,0.271635817908954,0.301900950475238,0.429590017825312,0.251598937712155,1,Unpooled,antiberta2-cssp,cdr3_only,1699.31928196854,porebski,0,1.87849133826993,,,0.0875582985709337
hb,13,LD1,392,0.125062531265633,0.206481528225887,0.268634317158579,0.300275137568784,0.410066617320503,0.265598524857713,1,Unpooled,antiberta2-cssp,cdr3_only,1804.56329164986,porebski,0,1.87849133826993,,,0.0937936093428978
hb,14,LD1,392,0.125062531265633,0.206103051525763,0.267633816908454,0.297773886943472,0.432692307692308,0.27959811200327,1,Unpooled,antiberta2-cssp,cdr3_only,1899,porebski,0,1.87849133826993,,,0.0916708354177088
hb,0,LD1,239,0,0,0.666666666666667,1,1,0.0324244840133784,9,Unpooled,esm2,cdr3_only,19,porebski,25,2.9560210561945,,,1
